symbol	Entrez	UNIPROT	EV_number of experiment	Colorectal cancer cells	Ovarian cancer cells	Breast cancer cells	Kidney cancer cells	Glioblastoma cells	Lung cancer cells	Stomach cancer cells	Hepatoma cells	Pancreatic cancer cells	Pancreatic adenocarcinoma cells
GPT2	84706	Q8TD30	10	3	2	2	1	0	2	0	0	0	0
CMTM7	112616	Q96FZ5	10	4	2	1	0	0	3	0	0	0	0
FAM26D	221301	Q5JW98	10	3	3	1	1	0	2	0	0	0	0
LCN1P1	286310	Q5VSP4	10	2	3	1	3	0	1	0	0	0	0
APC	324	P25054	10	4	2	0	2	0	2	0	0	0	0
CDK18	5129	Q07002	10	9	1	0	0	0	0	0	0	0	0
RIT1	6016	Q92963	10	3	5	1	1	0	0	0	0	0	0
SULT2B1	6820	O00204	10	2	5	1	1	0	1	0	0	0	0
SYT7	9066	O43581	10	4	0	0	4	0	2	0	0	0	0
PEX16	9409	Q9Y5Y5	10	2	2	0	3	0	3	0	0	0	0
KIF2C	11004	Q99661	10	3	0	1	6	0	0	0	0	0	0
VPS13A	23230	Q96RL7	10	4	0	2	1	0	3	0	0	0	0
ZFR	51663	Q96KR1	10	0	5	2	2	0	1	0	0	0	0
PLEKHF1	79156	Q96S99	10	0	5	1	1	0	3	0	0	0	0
NBPF3	84224	Q9H094	10	4	4	1	1	0	0	0	0	0	0
TUBA3D	113457	P0DPH8	10	10	0	0	0	0	0	0	0	0	0
NDUFA11	126328	Q86Y39	10	4	1	0	4	0	1	0	0	0	0
FAM101B	359845	Q8N5W9	10	5	2	2	0	0	1	0	0	0	0
EN2	2020	P19622	10	4	2	1	2	0	1	0	0	0	0
KRT84	3890	Q9NSB2	10	10	0	0	0	0	0	0	0	0	0
SUMO1	7341	P63165	10	5	2	1	1	0	1	0	0	0	0
CAND2	23066	O75155	10	5	5	0	0	0	0	0	0	0	0
NMD3	51068	Q96D46	10	3	2	2	3	0	0	0	0	0	0
PPP2R2D	55844	Q66LE6	10	6	4	0	0	0	0	0	0	0	0
PRPS1L1	221823	P21108	10	6	4	0	0	0	0	0	0	0	0
TMEM189	387521	A5PLL7	10	5	0	0	0	0	5	0	0	0	0
LOC440563	440563	B2RXH8	10	10	0	0	0	0	0	0	0	0	0
C4A	720	P0C0L4	9	1	6	1	0	1	0	0	0	0	0
HIST1H2AD	3013	P20671	9	9	0	0	0	0	0	0	0	0	0
MOXD1	26002	Q6UVY6	9	1	1	1	3	0	3	0	0	0	0
POSTN	10631	Q15063	9	3	4	0	2	0	0	0	0	0	0
DCN	1634	P07585	9	0	4	0	3	0	2	0	0	0	0
LAT	27040	O43561	9	4	2	0	1	0	2	0	0	0	0
FGFRL1	53834	Q8N441	9	2	3	2	1	0	1	0	0	0	0
OR5V1	81696	Q9UGF6	9	3	0	2	3	0	1	0	0	0	0
DNAH10	196385	Q8IVF4	9	0	4	1	2	0	2	0	0	0	0
CETN2	1069	P41208	9	3	4	0	2	0	0	0	0	0	0
SVIL	6840	O95425	9	2	3	3	1	0	0	0	0	0	0
OSMR	9180	Q99650	9	1	0	4	3	0	1	0	0	0	0
SPATS2L	26010	Q9NUQ6	9	2	3	0	2	0	2	0	0	0	0
PBLD	64081	P30039	9	0	5	0	1	0	3	0	0	0	0
PARP12	64761	Q9H0J9	9	4	4	1	0	0	0	0	0	0	0
LEMD2	221496	Q8NC56	9	4	0	0	4	0	1	0	0	0	0
OXCT1	5019	P55809	9	4	1	0	4	0	0	0	0	0	0
PDGFRB	5159	P09619	9	4	1	1	0	0	3	0	0	0	0
LEPROTL1	23484	O95214	9	3	2	2	1	0	1	0	0	0	0
AMACR	23600	Q9UHK6	9	1	3	1	1	0	3	0	0	0	0
TSKU	25987	Q8WUA8	9	1	6	2	0	0	0	0	0	0	0
LTN1	26046	O94822	9	0	2	2	2	0	3	0	0	0	0
RNF11	26994	Q9Y3C5	9	3	3	0	2	0	1	0	0	0	0
PAG1	55824	Q9NWQ8	9	2	4	1	2	0	0	0	0	0	0
ALPK3	57538	Q96L96	9	2	2	0	2	0	3	0	0	0	0
RPF2	84154	Q9H7B2	9	2	2	1	1	0	3	0	0	0	0
NAPEPLD	222236	Q6IQ20	9	1	4	0	3	0	1	0	0	0	0
C11orf10	746	P61165	9	1	4	1	3	0	0	0	0	0	0
COL4A5	1287	P29400	9	3	2	1	2	0	1	0	0	0	0
FABP6	2172	P51161	9	5	2	0	2	0	0	0	0	0	0
FMR1	2332	Q06787	9	3	4	1	0	0	1	0	0	0	0
GOLGA4	2803	Q13439	9	3	3	0	0	0	3	0	0	0	0
HUS1	3364	O60921	9	3	2	0	3	0	1	0	0	0	0
KCNE1	3753	P15382	9	4	0	1	2	0	2	0	0	0	0
RCN2	5955	Q14257	9	3	3	1	2	0	0	0	0	0	0
SGCB	6443	Q16585	9	2	1	2	2	0	2	0	0	0	0
SMARCD2	6603	Q92925	9	2	5	0	2	0	0	0	0	0	0
SOD2	6648	P04179	9	5	0	1	1	1	1	0	0	0	0
SYMPK	8189	Q92797	9	2	6	0	1	0	0	0	0	0	0
ZFYVE16	9765	Q7Z3T8	9	4	1	2	1	0	1	0	0	0	0
URB2	9816	Q14146	9	4	1	0	1	0	3	0	0	0	0
MLLT11	10962	Q13015	9	1	1	0	2	0	5	0	0	0	0
SLC27A3	11000	Q5K4L6	9	3	2	1	2	0	1	0	0	0	0
TMED1	11018	Q13445	9	4	1	3	1	0	0	0	0	0	0
PRKD3	23683	O94806	9	1	0	1	3	0	4	0	0	0	0
CNOT7	29883	Q9UIV1	9	4	2	3	0	0	0	0	0	0	0
COMMD10	51397	Q9Y6G5	9	2	1	4	1	0	1	0	0	0	0
XPNPEP3	63929	Q9NQH7	9	3	3	1	1	0	1	0	0	0	0
C4orf17	84103	Q53FE4	9	3	2	3	0	0	1	0	0	0	0
JAGN1	84522	Q8N5M9	9	2	2	4	0	0	1	0	0	0	0
NKD1	85407	Q969G9	9	2	2	1	1	0	3	0	0	0	0
ANKRD36	375248	A6QL64	9	4	2	1	1	0	1	0	0	0	0
LRRD1	401387	A4D1F6	9	4	1	2	0	0	2	0	0	0	0
NCF1	653361	P14598	9	0	2	1	4	0	2	0	0	0	0
CT45A2	728911	P0DMV1	9	1	0	3	3	0	2	0	0	0	0
ACTN3	89	Q08043	9	9	0	0	0	0	0	0	0	0	0
BPI	671	P17213	9	1	2	0	3	0	3	0	0	0	0
CLN3	1201	Q13286	9	1	4	0	2	0	2	0	0	0	0
FLT1	2321	P17948	9	4	4	0	0	0	1	0	0	0	0
GM2A	2760	P17900	9	2	4	0	2	0	1	0	0	0	0
INPP5A	3632	Q14642	9	3	2	3	1	0	0	0	0	0	0
MPO	4353	P05164	9	2	3	3	0	0	1	0	0	0	0
NPTX1	4884	Q15818	9	3	0	3	1	0	2	0	0	0	0
PDK3	5165	Q15120	9	0	1	2	2	0	4	0	0	0	0
PPIC	5480	P45877	9	4	1	0	1	0	3	0	0	0	0
TSSC1	7260	Q53HC9	9	0	3	0	4	0	2	0	0	0	0
PEA15	8682	Q15121	9	2	4	0	3	0	0	0	0	0	0
SLC33A1	9197	O00400	9	2	3	1	2	0	1	0	0	0	0
ARHGEF6	9459	Q15052	9	3	2	1	1	0	2	0	0	0	0
TELO2	9894	Q9Y4R8	9	3	5	1	0	0	0	0	0	0	0
PDZK1IP1	10158	Q13113	9	5	0	0	4	0	0	0	0	0	0
CWC27	10283	Q6UX04	9	3	0	3	3	0	0	0	0	0	0
EMC8	10328	O43402	9	1	3	3	1	0	1	0	0	0	0
IFI30	10437	P13284	9	4	3	1	0	0	1	0	0	0	0
ARHGEF12	23365	Q9NZN5	9	2	1	2	3	0	1	0	0	0	0
METTL7A	25840	Q9H8H3	9	3	1	0	2	0	3	0	0	0	0
POLR1A	25885	O95602	9	2	3	1	2	0	1	0	0	0	0
NOB1	28987	Q9ULX3	9	2	2	1	4	0	0	0	0	0	0
EFEMP2	30008	O95967	9	1	4	1	0	0	3	0	0	0	0
APH1A	51107	Q96BI3	9	1	2	1	2	0	3	0	0	0	0
ZDHHC9	51114	Q9Y397	9	2	4	0	0	0	3	0	0	0	0
SPA17	53340	Q15506	9	4	2	1	2	0	0	0	0	0	0
GNB1L	54584	Q9BYB4	9	2	1	1	2	0	3	0	0	0	0
TMEM70	54968	Q9BUB7	9	2	0	4	2	0	1	0	0	0	0
TMEM63B	55362	Q5T3F8	9	1	2	1	2	0	3	0	0	0	0
C9orf86	55684	Q3YEC7	9	5	2	1	0	0	1	0	0	0	0
UBAP2	55833	Q5T6F2	9	1	2	0	1	0	5	0	0	0	0
KIF15	56992	Q9NS87	9	3	2	1	2	0	1	0	0	0	0
NLGN4X	57502	Q8N0W4	9	3	2	2	2	0	0	0	0	0	0
NOC3L	64318	Q8WTT2	9	2	2	0	5	0	0	0	0	0	0
WNK1	65125	Q9H4A3	9	1	3	1	2	0	2	0	0	0	0
PDCL3	79031	Q9H2J4	9	2	5	0	2	0	0	0	0	0	0
NOC4L	79050	Q9BVI4	9	1	2	1	2	0	3	0	0	0	0
MAP6D1	79929	Q9H9H5	9	2	1	1	5	0	0	0	0	0	0
EMC6	83460	Q9BV81	9	0	5	4	0	0	0	0	0	0	0
EPT1	85465	Q9C0D9	9	2	2	3	1	0	1	0	0	0	0
ANKRD44	91526	Q8N8A2	9	0	3	1	2	0	3	0	0	0	0
NEXN	91624	Q0ZGT2	9	1	1	2	2	0	3	0	0	0	0
SYAP1	94056	Q96A49	9	5	0	2	2	0	0	0	0	0	0
RLTPR	146206	Q6F5E8	9	2	2	1	3	0	1	0	0	0	0
PPP4R2	151987	Q9NY27	9	3	3	0	3	0	0	0	0	0	0
ATP6V0D2	245972	Q8N8Y2	9	3	0	1	3	0	2	0	0	0	0
ELMOD2	255520	Q8IZ81	9	2	1	0	3	0	3	0	0	0	0
KLHL17	339451	Q6TDP4	9	1	1	3	4	0	0	0	0	0	0
TMEM173	340061	Q86WV6	9	2	3	0	4	0	0	0	0	0	0
ATXN7L3B	552889	Q96GX2	9	2	1	2	2	0	2	0	0	0	0
CCDC169	728591	A6NNP5	9	3	0	1	4	0	1	0	0	0	0
CD6	923	P30203	9	2	3	1	2	0	1	0	0	0	0
COL2A1	1280	P02458	9	1	6	2	0	0	0	0	0	0	0
CTSK	1513	P43235	9	2	3	2	2	0	0	0	0	0	0
LPAR1	1902	Q92633	9	2	5	1	0	0	1	0	0	0	0
GNA12	2768	Q03113	9	7	1	1	0	0	0	0	0	0	0
GPD2	2820	P43304	9	5	2	1	0	0	1	0	0	0	0
HSP90AA4P	3323	Q58FG1	9	2	2	1	2	0	2	0	0	0	0
IL6R	3570	P08887	9	2	1	0	5	0	1	0	0	0	0
IL13RA2	3598	Q14627	9	0	2	1	2	0	4	0	0	0	0
NCK1	4690	P16333	9	4	3	0	1	0	1	0	0	0	0
NDUFA7	4701	O95182	9	1	3	2	0	0	3	0	0	0	0
NDUFB5	4711	O43674	9	3	1	1	3	0	1	0	0	0	0
NFYC	4802	Q13952	9	3	1	0	4	0	1	0	0	0	0
NINJ1	4814	Q92982	9	2	3	1	2	0	1	0	0	0	0
PAH	5053	P00439	9	3	2	1	3	0	0	0	0	0	0
PHKB	5257	Q93100	9	1	4	0	3	0	1	0	0	0	0
POLE	5426	Q07864	9	6	1	0	1	0	1	0	0	0	0
PTMS	5763	P20962	9	4	1	0	2	0	2	0	0	0	0
PVALB	5816	P20472	9	4	0	2	1	0	2	0	0	0	0
MRPL12	6182	P52815	9	3	0	4	1	0	1	0	0	0	0
S100A7	6278	P31151	9	3	0	2	1	0	3	0	0	0	0
SEMG1	6406	P04279	9	1	4	1	0	0	3	0	0	0	0
STIM1	6786	Q13586	9	2	4	1	0	0	2	0	0	0	0
TFAP4	7023	Q01664	9	5	1	0	2	0	1	0	0	0	0
MAPKAPK5	8550	Q8IW41	9	3	2	0	1	0	3	0	0	0	0
LRRFIP2	9209	Q9Y608	9	2	1	1	2	0	3	0	0	0	0
SNRNP40	9410	Q96DI7	9	2	7	0	0	0	0	0	0	0	0
LARP4B	23185	Q92615	9	2	2	3	2	0	0	0	0	0	0
WDR7	23335	Q9Y4E6	9	2	4	1	1	0	1	0	0	0	0
MTCH2	23788	Q9Y6C9	9	2	0	4	3	0	0	0	0	0	0
YIPF3	25844	Q9GZM5	9	1	3	3	0	0	2	0	0	0	0
UBXN7	26043	O94888	9	1	1	2	2	0	3	0	0	0	0
HTATSF1	27336	O43719	9	3	4	1	0	0	1	0	0	0	0
TPRKB	51002	Q9Y3C4	9	0	2	0	1	0	6	0	0	0	0
MRPL37	51253	Q9BZE1	9	2	1	1	2	0	3	0	0	0	0
SAMD9	54809	Q5K651	9	2	2	2	0	0	3	0	0	0	0
RETSAT	54884	Q6NUM9	9	2	2	1	2	0	2	0	0	0	0
ANO1	55107	Q5XXA6	9	5	2	0	1	0	1	0	0	0	0
POLR3B	55703	Q9NW08	9	3	0	3	1	0	2	0	0	0	0
OTUD7B	56957	Q6GQQ9	9	2	2	3	0	0	2	0	0	0	0
GATAD2B	57459	Q8WXI9	9	1	3	1	4	0	0	0	0	0	0
PRR12	57479	Q9ULL5	9	2	1	1	2	0	3	0	0	0	0
PRR15L	79170	Q9BU68	9	2	1	2	0	0	4	0	0	0	0
PGBD5	79605	Q8N414	9	2	2	1	1	0	3	0	0	0	0
UBA5	79876	Q9GZZ9	9	2	5	0	2	0	0	0	0	0	0
CBR4	84869	Q8N4T8	9	3	2	1	3	0	0	0	0	0	0
MCU	90550	Q8NE86	9	3	2	1	1	0	2	0	0	0	0
IMP4	92856	Q96G21	9	3	4	1	1	0	0	0	0	0	0
OR52B4	143496	Q8NGK2	9	4	0	1	3	0	1	0	0	0	0
PLD5	200150	Q8N7P1	9	4	3	0	1	0	1	0	0	0	0
FREM2	341640	Q5SZK8	9	6	3	0	0	0	0	0	0	0	0
FIBIN	387758	Q8TAL6	9	3	1	1	3	0	1	0	0	0	0
GPX8	493869	Q8TED1	9	3	1	2	2	0	1	0	0	0	0
LIMS3L	100288695	P0CW19	9	5	3	0	1	0	0	0	0	0	0
ALDH3A2	224	P51648	9	3	3	2	0	0	1	0	0	0	0
ALOX12B	242	O75342	9	2	1	2	4	0	0	0	0	0	0
ATR	545	Q13535	9	1	4	1	0	0	3	0	0	0	0
AUH	549	Q13825	9	3	1	2	3	0	0	0	0	0	0
CAPN6	827	Q9Y6Q1	9	4	1	2	1	0	1	0	0	0	0
FABP7	2173	O15540	9	4	0	1	3	1	0	0	0	0	0
KDR	3791	P35968	9	3	1	0	4	0	1	0	0	0	0
PLXNB3	5365	Q9ULL4	9	4	2	2	1	0	0	0	0	0	0
PTPN14	5784	Q15678	9	0	1	2	3	0	3	0	0	0	0
RGS10	6001	O43665	9	1	1	2	2	0	3	0	0	0	0
MSMO1	6307	Q15800	9	1	2	3	1	0	2	0	0	0	0
SELP	6403	P16109	9	4	2	0	0	0	3	0	0	0	0
SIGLEC1	6614	Q9BZZ2	9	5	0	0	3	0	1	0	0	0	0
LY6D	8581	Q14210	9	3	1	1	2	0	2	0	0	0	0
RAB9A	9367	P51151	9	3	4	1	0	0	1	0	0	0	0
KIAA0586	9786	Q9BVV6	9	4	0	0	2	0	3	0	0	0	0
PALLD	23022	Q8WX93	9	3	2	1	3	0	0	0	0	0	0
U2SURP	23350	O15042	9	1	5	2	1	0	0	0	0	0	0
SAMM50	25813	Q9Y512	9	3	3	0	1	0	2	0	0	0	0
GPN3	51184	Q9UHW5	9	0	4	0	1	0	4	0	0	0	0
GOLPH3L	55204	Q9H4A5	9	3	0	3	0	0	3	0	0	0	0
ZCCHC8	55596	Q6NZY4	9	2	1	2	2	0	2	0	0	0	0
COG6	57511	Q9Y2V7	9	4	3	0	2	0	0	0	0	0	0
WDFY1	57590	Q8IWB7	9	4	3	0	1	0	1	0	0	0	0
UBL5	59286	Q9BZL1	9	1	5	1	2	0	0	0	0	0	0
C8orf33	65265	Q9H7E9	9	2	1	3	3	0	0	0	0	0	0
JHDM1D	80853	Q6ZMT4	9	4	1	0	2	0	2	0	0	0	0
CCDC54	84692	Q8NEL0	9	4	1	2	2	0	0	0	0	0	0
PNPT1	87178	Q8TCS8	9	1	0	0	5	0	3	0	0	0	0
MED30	90390	Q96HR3	9	4	2	1	2	0	0	0	0	0	0
ZNF622	90441	Q969S3	9	4	1	1	1	0	2	0	0	0	0
NDUFAF2	91942	Q8N183	9	2	0	2	0	0	5	0	0	0	0
MED8	112950	Q96G25	9	4	1	0	3	0	1	0	0	0	0
SPIN4	139886	Q56A73	9	3	1	0	3	0	2	0	0	0	0
COMMD1	150684	Q8N668	9	1	5	0	2	0	1	0	0	0	0
STAC3	246329	Q96MF2	9	1	5	1	1	0	1	0	0	0	0
C10orf125	282969	A2VDF0	9	1	3	0	2	0	3	0	0	0	0
RNF149	284996	Q8NC42	9	0	5	0	1	0	3	0	0	0	0
C9orf169	375791	A8MQ03	9	3	4	0	1	0	1	0	0	0	0
H3F3C	440093	Q6NXT2	9	9	0	0	0	0	0	0	0	0	0
MINOS1	440574	Q5TGZ0	9	1	1	0	4	0	3	0	0	0	0
TIMM23	100287932	O14925	9	1	1	1	4	0	2	0	0	0	0
MYZAP	100820829	P0CAP1	9	1	3	1	3	0	1	0	0	0	0
ATP5G1	516	P05496	9	0	1	2	4	0	2	0	0	0	0
BCS1L	617	Q9Y276	9	1	5	1	1	0	1	0	0	0	0
CD38	952	P28907	9	1	3	2	1	0	2	0	0	0	0
COL9A1	1297	P20849	9	3	0	1	3	0	2	0	0	0	0
CPE	1363	P16870	9	4	3	0	1	0	1	0	0	0	0
FCGR2A	2212	P12318	9	4	1	1	0	0	3	0	0	0	0
MTR	4548	Q99707	9	1	3	3	0	0	2	0	0	0	0
NEFM	4741	P07197	9	2	4	2	0	0	1	0	0	0	0
PLRG1	5356	O43660	9	1	1	3	4	0	0	0	0	0	0
POLD1	5424	P28340	9	3	1	1	3	0	1	0	0	0	0
PPP3R1	5534	P63098	9	2	2	0	2	0	3	0	0	0	0
PTGIS	5740	Q16647	9	0	4	0	0	0	5	0	0	0	0
ST3GAL4	6484	Q11206	9	3	2	2	1	0	1	0	0	0	0
SLC15A1	6564	P46059	9	2	2	0	3	0	2	0	0	0	0
AKAP1	8165	Q92667	9	4	0	2	2	0	1	0	0	0	0
ABCB11	8647	O95342	9	2	2	2	0	0	3	0	0	0	0
FAM50A	9130	Q14320	9	4	1	2	1	0	1	0	0	0	0
LPXN	9404	O60711	9	2	1	2	4	0	0	0	0	0	0
LPIN2	9663	Q92539	9	0	3	2	3	0	1	0	0	0	0
MFSD10	10227	Q14728	9	2	1	2	2	0	2	0	0	0	0
FAM189B	10712	P81408	9	1	3	0	0	0	5	0	0	0	0
NEK6	10783	Q9HC98	9	4	2	2	0	0	1	0	0	0	0
PLA2G16	11145	P53816	9	2	2	1	1	0	3	0	0	0	0
NLGN1	22871	Q8N2Q7	9	1	4	2	1	0	1	0	0	0	0
WDR43	23160	Q15061	9	3	2	2	2	0	0	0	0	0	0
ZCCHC11	23318	Q5TAX3	9	5	3	1	0	0	0	0	0	0	0
BRI3	25798	O95415	9	3	1	2	2	0	1	0	0	0	0
BACE2	25825	Q9Y5Z0	9	3	1	0	3	0	2	0	0	0	0
OLFML2B	25903	Q68BL8	9	1	2	0	3	0	3	0	0	0	0
DPCD	25911	Q9BVM2	9	2	1	2	1	0	3	0	0	0	0
CINP	51550	Q9BW66	9	1	3	0	2	0	3	0	0	0	0
GINS2	51659	Q9Y248	9	5	4	0	0	0	0	0	0	0	0
NDUFB11	54539	Q9NX14	9	3	4	0	1	0	1	0	0	0	0
RNF43	54894	Q68DV7	9	4	4	1	0	0	0	0	0	0	0
SMPD4	55627	Q9NXE4	9	2	4	0	0	0	3	0	0	0	0
MFN1	55669	Q8IWA4	9	2	3	2	2	0	0	0	0	0	0
GRIPAP1	56850	Q4V328	9	2	0	3	4	0	0	0	0	0	0
TMC5	79838	Q6UXY8	9	4	1	2	2	0	0	0	0	0	0
CCDC134	79879	Q9H6E4	9	0	3	1	4	0	1	0	0	0	0
ERI1	90459	Q8IV48	9	3	1	2	3	0	0	0	0	0	0
C19orf70	125988	Q5XKP0	9	4	2	1	0	0	2	0	0	0	0
WDR36	134430	Q8NI36	9	3	4	1	0	0	1	0	0	0	0
FAM26E	254228	Q8N5C1	9	3	3	0	1	0	2	0	0	0	0
ZDHHC23	254887	Q8IYP9	9	2	4	1	0	0	2	0	0	0	0
MAMDC2	256691	Q7Z304	9	1	4	1	2	0	1	0	0	0	0
UNC80	285175	Q8N2C7	9	4	1	1	2	0	1	0	0	0	0
RPL7L1	285855	Q6DKI1	9	1	1	3	4	0	0	0	0	0	0
RAB7B	338382	Q96AH8	9	2	0	1	4	0	2	0	0	0	0
TPTEP2-CSNK1E	102800317	P49674	9	4	1	2	0	0	2	0	0	0	0
DHCR7	1717	Q9UBM7	9	2	0	1	5	0	1	0	0	0	0
DNAH6	1768	Q9C0G6	9	3	2	1	3	0	0	0	0	0	0
FGL1	2267	Q08830	9	1	0	3	3	0	2	0	0	0	0
GOLGA2	2801	Q08379	9	4	1	2	0	0	2	0	0	0	0
HIP1	3092	O00291	9	1	2	3	2	1	0	0	0	0	0
KIF5A	3798	Q12840	9	9	0	0	0	0	0	0	0	0	0
MAP2K4	6416	P45985	9	1	4	0	1	0	3	0	0	0	0
SRPK1	6732	Q96SB4	9	4	3	0	1	0	1	0	0	0	0
SRPR	6734	P08240	9	1	0	2	0	0	6	0	0	0	0
SEMA3B	7869	Q13214	9	2	2	2	3	0	0	0	0	0	0
GBF1	8729	Q92538	9	6	2	1	0	0	0	0	0	0	0
DCLK1	9201	O15075	9	3	2	0	3	0	1	0	0	0	0
ZMPSTE24	10269	O75844	9	3	1	3	0	0	2	0	0	0	0
HBXIP	10542	O43504	9	4	0	3	1	0	1	0	0	0	0
MAPKBP1	23005	O60336	9	2	2	2	1	0	2	0	0	0	0
GLCE	26035	O94923	9	0	0	1	3	0	5	0	0	0	0
MRPL46	26589	Q9H2W6	9	3	5	0	1	0	0	0	0	0	0
AKIRIN2	55122	Q53H80	9	1	3	2	0	0	3	0	0	0	0
ZNF625	90589	Q96I27	9	1	4	1	3	0	0	0	0	0	0
PTPMT1	114971	Q8WUK0	9	1	2	2	3	0	1	0	0	0	0
HSPB6	126393	O14558	9	1	2	2	2	0	2	0	0	0	0
TMEM68	137695	Q96MH6	9	1	1	1	3	0	3	0	0	0	0
ADAMTS16	170690	Q8TE57	9	5	1	0	0	0	3	0	0	0	0
ERVK-19	100862685	O71037	9	3	2	2	1	0	1	0	0	0	0
GAMT	2593	Q14353	9	2	3	3	0	0	1	0	0	0	0
PIP	5304	P12273	9	0	1	3	0	0	5	0	0	0	0
NUP50	10762	Q9UKX7	9	3	4	2	0	0	0	0	0	0	0
ADAT1	23536	Q9BUB4	9	2	1	3	1	0	2	0	0	0	0
APOBEC3C	27350	Q9NRW3	9	2	3	1	3	0	0	0	0	0	0
NOP10	55505	Q9NPE3	9	1	3	0	4	0	1	0	0	0	0
ZDBF2	57683	Q9HCK1	9	3	2	0	0	0	4	0	0	0	0
CIRH1A	84916	Q969X6	9	2	3	1	1	0	2	0	0	0	0
SHISA4	149345	Q96DD7	9	0	1	0	3	0	5	0	0	0	0
SMAD9	4093	O15198	9	6	2	1	0	0	0	0	0	0	0
PAK3	5063	O75914	9	6	3	0	0	0	0	0	0	0	0
PCSK5	5125	Q92824	9	2	4	1	2	0	0	0	0	0	0
TTYH1	57348	Q9H313	9	2	1	0	3	3	0	0	0	0	0
ALDH8A1	64577	Q9H2A2	9	2	0	2	1	2	2	0	0	0	0
C1orf116	79098	Q9BW04	9	9	0	0	0	0	0	0	0	0	0
RAB33B	83452	Q9H082	9	7	2	0	0	0	0	0	0	0	0
TIFA	92610	Q96CG3	9	3	2	1	2	0	1	0	0	0	0
WTH3DI	150786	Q53S08	9	9	0	0	0	0	0	0	0	0	0
CNKSR3	154043	Q6P9H4	9	7	2	0	0	0	0	0	0	0	0
PCNXL3	399909	Q9H6A9	9	2	2	1	2	0	2	0	0	0	0
PPIAL4G	644591	P0DN37	9	5	4	0	0	0	0	0	0	0	0
F10	2159	P00742	8	2	1	0	2	0	3	0	0	0	0
SLC6A6	6533	P31641	8	2	4	0	0	0	2	0	0	0	0
SEMA3A	10371	Q14563	8	2	4	1	1	0	0	0	0	0	0
C6orf10	10665	Q5SRN2	8	3	1	1	1	0	2	0	0	0	0
CPSF6	11052	Q16630	8	2	4	0	1	0	1	0	0	0	0
COL10A1	1300	Q03692	8	1	2	1	2	0	2	0	0	0	0
IGFBP7	3490	Q16270	8	2	1	2	1	1	1	0	0	0	0
PTPRB	5787	P23467	8	0	1	2	3	0	2	0	0	0	0
ITGAL	3683	P20701	8	3	3	0	1	0	1	0	0	0	0
CCL5	6352	P13501	8	3	0	1	3	0	1	0	0	0	0
HIBADH	11112	P31937	8	1	1	1	2	0	3	0	0	0	0
EXOSC3	51010	Q9NQT5	8	3	1	1	0	0	3	0	0	0	0
C8B	732	P07358	8	3	0	0	1	0	4	0	0	0	0
CD53	963	P19397	8	4	3	0	0	0	1	0	0	0	0
DHX8	1659	Q14562	8	2	3	1	1	0	1	0	0	0	0
ETFDH	2110	Q16134	8	0	4	2	1	0	1	0	0	0	0
UBC	7316	P0CG48	8	8	0	0	0	0	0	0	0	0	0
HIST3H3	8290	Q16695	8	8	0	0	0	0	0	0	0	0	0
COX7A2L	9167	O14548	8	0	1	3	4	0	0	0	0	0	0
ATP11B	23200	Q9Y2G3	8	2	4	1	1	0	0	0	0	0	0
UBE2T	29089	Q9NPD8	8	2	2	1	2	0	1	0	0	0	0
SAR1B	51128	Q9Y6B6	8	1	4	1	2	0	0	0	0	0	0
FKBP11	51303	Q9NYL4	8	2	1	2	2	0	1	0	0	0	0
THNSL2	55258	Q86YJ6	8	2	4	1	0	0	1	0	0	0	0
CCDC132	55610	Q96JG6	8	1	5	2	0	0	0	0	0	0	0
C13orf44	79024	Q9BVW6	8	2	2	1	1	0	2	0	0	0	0
ROMO1	140823	P60602	8	3	1	0	0	0	4	0	0	0	0
GP1BB	2812	P13224	8	3	2	2	0	0	1	0	0	0	0
GPX3	2878	P22352	8	0	0	2	5	0	1	0	0	0	0
SPN	6693	P16150	8	2	3	0	3	0	0	0	0	0	0
TRIB1	10221	Q96RU8	8	0	3	2	3	0	0	0	0	0	0
KIAA0182	23199	Q14687	8	2	2	3	1	0	0	0	0	0	0
WDR91	29062	A4D1P6	8	2	0	2	2	0	2	0	0	0	0
PACSIN1	29993	Q9BY11	8	1	2	0	5	0	0	0	0	0	0
TOMM7	54543	Q9P0U1	8	0	2	1	3	0	2	0	0	0	0
SPC25	57405	Q9HBM1	8	1	3	0	2	0	2	0	0	0	0
FTO	79068	Q9C0B1	8	4	0	0	1	0	3	0	0	0	0
DOHH	83475	Q9BU89	8	2	4	1	1	0	0	0	0	0	0
TMEM222	84065	Q9H0R3	8	1	2	1	0	0	4	0	0	0	0
MRGPRF	116535	Q96AM1	8	2	1	0	4	0	1	0	0	0	0
TMIGD2	126259	Q96BF3	8	2	2	0	1	0	3	0	0	0	0
SHISA3	152573	A0PJX4	8	4	2	0	0	0	2	0	0	0	0
C4BPA	722	P04003	8	2	3	2	0	0	1	0	0	0	0
CIRBP	1153	Q14011	8	2	1	0	4	0	1	0	0	0	0
LBP	3929	P18428	8	3	3	0	1	0	1	0	0	0	0
MGAT1	4245	P26572	8	2	4	1	0	0	1	0	0	0	0
PAPPA	5069	Q13219	8	1	2	1	1	0	3	0	0	0	0
PPOX	5498	P50336	8	2	1	0	4	0	1	0	0	0	0
RRAD	6236	P55042	8	5	0	0	1	0	2	0	0	0	0
